"cell","S6K_max","T05","ligand","EC50_reciprocal"
"EC_artery","0.088462810","0.15648259","ins"," 6.3904871"
"EC_capillary","0.112659100","0.11434030","ins"," 8.7458229"
"EC_venous","0.109785400","0.17602164","ins"," 5.6811198"
"SMC_vasc","0.134193200","0.16925157","ins"," 5.9083646"
"SMC_artery","0.045079660","0.43384326","ins"," 2.3049799"
"pericytes_st","0.041989430","0.50753525","ins"," 1.9703065"
"pericytes_ECM","0.045881120","0.59374446","ins"," 1.6842262"
"astro_Hpc","0.109230700","0.07141661","ins","14.0023443"
"astro_ctx","0.101199400","0.08688923","ins","11.5089063"
"microglia","0.010030350","0.64219401","ins"," 1.5571618"
"oligodegro","0.071163390","0.13911246","ins"," 7.1884289"
"OPC","0.089988500","0.12367047","ins"," 8.0860049"
"neuron","0.106039300","0.17602164","ins"," 5.6811198"
"EC_artery","0.011380840","2.96460258","pdgf"," 0.3373133"
"EC_capillary","0.009827385","3.33477471","pdgf"," 0.2998703"
"EC_venous","0.010136980","3.08318668","pdgf"," 0.3243398"
"SMC_vasc","0.138788600","0.07427328","pdgf","13.4637926"
"SMC_artery","0.075027310","0.06602867","pdgf","15.1449356"
"pericytes_st","0.081288620","0.06104722","pdgf","16.3807623"
"pericytes_ECM","0.098685050","0.06348911","pdgf","15.7507330"
"astro_Hpc","0.004017816","3.33477471","pdgf"," 0.2998703"
"astro_ctx","0.003268671","3.33477471","pdgf"," 0.2998703"
"microglia","0.001160702","3.33477471","pdgf"," 0.2998703"
"oligodegro","0.003014036","3.20651415","pdgf"," 0.3118651"
"OPC","0.077388490","0.12861729","pdgf"," 7.7750047"
"neuron","0.074854320","0.22272352","pdgf"," 4.4898715"
"EC_artery","0.056313480","0.52710418","nrg"," 1.8971582"
"EC_capillary","0.077195180","0.41657809","nrg"," 2.4005103"
"EC_venous","0.059298440","0.48733744","nrg"," 2.0519663"
"SMC_vasc","0.070372920","0.38514986","nrg"," 2.5963920"
"SMC_artery","0.022990540","0.46859370","nrg"," 2.1340449"
"pericytes_st","0.023876940","0.45057086","nrg"," 2.2194067"
"pericytes_ECM","0.026639860","0.52710418","nrg"," 1.8971582"
"astro_Hpc","0.085603560","0.24056347","nrg"," 4.1569072"
"astro_ctx","0.103455780","0.12843880","nrg"," 7.7858092"
"microglia","0.014248074","0.61663734","nrg"," 1.6216988"
"oligodegro","0.055533500","0.26019345","nrg"," 3.8432944"
"OPC","0.097563480","0.13357635","nrg"," 7.4863550"
"neuron","0.113768880","0.10979003","nrg"," 9.1082955"
