"gene","EC_artery","EC_capillary","EC_venous","SMC_vasc","SMC_artery","pericytes_st","pericytes_ECM","astro_Hpc","astro_ctx","microglia","oligodegro","OPC","neuron"
"NRG","0.2138091801","0.1941489427","0.117963583","0.1150425","0.1184270","0.1274144","0.09449712","3.0683496019","3.1548446440","7.562794e-02","0.079980933","0.9191514"," 2.2804720"
"ERBB","0.3217005694","0.3640674100","0.262152950","0.6970558","0.4608737","0.4286421","0.32273171","1.3415941431","2.4574561152","2.747340e-01","0.981508218","2.1419827"," 4.1463220"
"PDGF","0.4538205721","0.8997071671","1.305226555","0.9622103","0.4923384","0.2089706","0.39390035","0.3543112851","0.6854096915","7.885431e-01","0.210495089","0.9098574"," 0.3306238"
"PDGFR","0.0002386358","0.0008974136","0.001230909","1.1032734","2.1991679","2.4733221","2.67982231","0.0004772717","0.0005401432","2.386358e-04","0.001231097","0.4336985"," 0.1898777"
"f","0.0000000000","0.0000000000","0.000000000","0.0000000","0.0000000","0.0000000","0.00000000","0.0000000000","0.0000000000","0.000000e+00","0.000000000","0.0000000"," 0.0000000"
"ff","0.0000000000","0.0000000000","0.000000000","0.0000000","0.0000000","0.0000000","0.00000000","0.0000000000","0.0000000000","0.000000e+00","0.000000000","0.0000000"," 0.0000000"
"IGF","0.1602307996","0.2770937519","0.023825650","0.3084960","0.2092880","0.1113623","0.20521973","0.2526295896","0.0476512990","1.554820e+01","0.217214362","0.3048668","22.0033895"
"IR","1.4459723589","2.1004847868","1.449777340","0.7969566","0.5579002","0.5477126","0.54648263","0.4762236971","0.5031762884","4.773990e-01","0.702262397","0.4791009"," 0.5388966"
"IRS","0.0522968537","0.1155189743","0.056290745","0.8558515","0.3977962","0.4746485","0.18912178","1.0921171756","1.0850277265","1.094542e+00","0.512323866","0.6848206"," 0.7576762"
"PTEN","0.4878355282","0.6125475838","0.776485829","0.9349333","2.5458565","3.4369166","2.11087923","0.2657924550","0.2874949495","6.152465e-01","0.251410432","0.3544586"," 0.4322009"
"AKT","1.0022225225","1.1680988501","0.944890319","1.0437772","1.0163247","1.0626659","0.74580185","0.7255206195","0.7358265428","8.343704e-01","0.581782277","0.8396003"," 0.6230463"
"TSC","0.5469595340","0.7113227024","0.769340603","0.5811780","0.7413800","0.9192782","0.85253603","0.9830477552","1.3028264292","1.001414e+00","1.135649841","1.0455945"," 1.0468804"
"S6K","0.7263276668","0.7864454777","0.984485277","0.6445826","0.7411762","0.7835021","1.01747642","0.6993309391","0.8893296489","3.670843e-01","0.888479514","0.7179738"," 1.0155147"
